ticker,security,gics_sector,gics_sub_industry,index_membership,rows,last_close,median_dv_126d,passes
EYE,National Vision Holdings,Consumer Discretionary,Specialty Stores,S&P 600,2140,22.440000534057617,33921182.95536041,True
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,S&P 500,5620,11.6899995803833,702753853.5625458,True
FAF,First American Financial Corporation,Financials,Property & Casualty Insurance,S&P 400,4008,68.37999725341797,54114744.818496704,True
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,S&P 500,3408,206.17999267578125,353242549.9053955,True
FAST,Fastenal,Industrials,Trading Companies & Distributors,S&P 500,5620,44.33000183105469,290984839.7638321,True
FBIN,Fortune Brands Innovations,Industrials,Building Products,S&P 400,3679,38.18000030517578,99285705.41000366,True
FBP,First BanCorp (Puerto Rico),Financials,Regional Banks,S&P 600,5620,24.190000534057617,26537646.099567413,True
FCFS,FirstCash,Financials,Consumer Finance,S&P 400,5620,224.72000122070312,47300302.31933594,True
FCN,FTI Consulting,Industrials,Research & Consulting Services,S&P 400,5620,166.9499969482422,52381226.417541504,True
FCX,Freeport-McMoRan,Materials,Copper,S&P 500,5620,57.68000030517578,959937219.3786621,True
FDS,FactSet,Financials,Financial Exchanges & Data,S&P 500,5620,219.4199981689453,190184960.3149414,True
FDX,FedEx,Industrials,Air Freight & Logistics,S&P 500,5620,362.75,525342734.25598145,True
FE,FirstEnergy,Utilities,Electric Utilities,S&P 500,5620,45.880001068115234,210965249.06272888,True
FELE,Franklin Electric,Industrials,Industrial Machinery & Supplies & Components,S&P 600,5620,100.01000213623048,25007863.538360596,True
FFIN,First Financial Bankshares,Financials,Regional Banks,S&P 400,5620,32.220001220703125,21654731.380176544,True
FFIV,"F5, Inc.",Information Technology,Communications Equipment,S&P 500,5620,339.8999938964844,221273890.52581787,True
FHB,"First Hawaiian, Inc.",Financials,Regional Banks,S&P 600,2450,27.520000457763672,34115643.38207245,True
FHI,Federated Hermes,Financials,Asset Management & Custody Banks,S&P 400,5620,55.06999969482422,34808324.29847717,True
FHN,First Horizon,Financials,Regional Banks,S&P 400,5620,24.780000686645508,132619920.02296448,True
FIBK,"First Interstate BancSystem, Inc.",Financials,Regional Banks,S&P 600,4054,35.900001525878906,35269222.175598145,True
FICO,Fair Isaac,Information Technology,Application Software,S&P 500,5620,1066.27001953125,371310425.95214844,True
FIS,Fidelity National Information Services,Financials,Transaction & Payment Processing Services,S&P 500,5620,46.61000061035156,232404587.30793,True
FISV,Fiserv,Financials,Transaction & Payment Processing Services,S&P 500,5619,57.27999877929688,438644663.00239563,True
FITB,Fifth Third Bancorp,Financials,Regional Banks,S&P 500,5620,50.29999923706055,374948667.24586487,True
FIVE,Five Below,Consumer Discretionary,Specialty Stores,S&P 400,3468,226.72000122070312,209226120.82366943,True
FIX,Comfort Systems USA,Industrials,Construction & Engineering,S&P 500,5620,1967.239990234375,468310986.6027832,True
FLEX,Flex Ltd.,Information Technology,Electronic Manufacturing Services,S&P 400,5620,96.4499969482422,236871572.94197083,True
FLG,Flagstar Bank,Financials,Regional Banks,S&P 400,5620,13.899999618530272,59880186.80782318,True
FLO,Flowers Foods,Consumer Staples,Packaged Foods & Meats,S&P 400,5620,8.640000343322754,41863155.543899536,True
FLR,Fluor,Industrials,Construction & Engineering,S&P 400,5620,52.9900016784668,119700253.37657928,True
FLS,Flowserve,Industrials,Industrial Machinery & Supplies & Components,S&P 400,5620,70.22000122070312,118131396.38252258,True
FMC,FMC Corporation,Materials,Fertilizers & Agricultural Chemicals,S&P 600,5620,14.869999885559082,55710679.749917984,True
FN,Fabrinet,Information Technology,Electronic Manufacturing Services,S&P 400,3989,660.3200073242188,325062212.4267578,True
FNB,FNB Corporation,Financials,Regional Banks,S&P 400,5620,17.899999618530273,101826731.12068176,True
FND,Floor & Decor,Consumer Discretionary,Home Improvement Retail,S&P 400,2268,48.29999923706055,153419825.43373108,True
FNF,Fidelity National Financial,Financials,Property & Casualty Insurance,S&P 400,5170,51.18000030517578,78778354.42790985,True
FORM,"FormFactor, Inc.",Information Technology,Semiconductor Materials & Equipment,S&P 600,5620,145.0,95359588.9755249,True
FOUR,Shift4,Financials,Transaction & Payment Processing Services,S&P 400,1486,40.970001220703125,108323479.88204956,True
FOX,Fox Corporation (Class B),Communication Services,Broadcasting,S&P 500,1797,55.90999984741211,82233604.84771729,True
FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,S&P 500,1798,62.22999954223633,208677088.38272095,True
FR,First Industrial Realty Trust,Real Estate,Industrial REITs,S&P 400,5620,61.72999954223633,53718226.44042969,True
FRPT,Freshpet,Consumer Staples,Packaged Foods & Meats,S&P 600,2888,60.16999816894531,77523740.06729126,True
FRT,Federal Realty Investment Trust,Real Estate,Retail REITs,S&P 500,5620,115.29000091552734,70758059.12475586,True
FSLR,First Solar,Information Technology,Semiconductors,S&P 500,4894,219.3800048828125,468132716.31240845,True
FSS,Federal Signal Corporation,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 600,5620,121.51000213623048,43772924.10507202,True
FTDR,"Frontdoor, Inc.",Consumer Discretionary,Specialized Consumer Services,S&P 600,1920,65.93000030517578,33965626.8157959,True
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,S&P 400,5620,75.02999877929688,191618159.63897705,True
FTNT,Fortinet,Information Technology,Systems Software,S&P 500,4139,89.91999816894531,473817431.94885254,True
FTV,Fortive,Industrials,Industrial Machinery & Supplies & Components,S&P 500,2473,60.68999862670898,167222551.3578415,True
FUL,H.B. Fuller Company,Materials,Specialty Chemicals,S&P 600,5620,59.650001525878906,24599992.991256714,True
FULT,Fulton Financial Corporation,Financials,Regional Banks,S&P 600,5620,21.57999992370605,36392993.36566925,True
FUN,Six Flags,Consumer Discretionary,Leisure Facilities,S&P 600,5620,18.1299991607666,35430664.72120285,True
G,Genpact,Industrials,Data Processing & Outsourced Services,S&P 400,4719,34.08000183105469,84495847.55706787,True
GAP,Gap Inc.,Consumer Discretionary,Apparel Retail,S&P 400,5620,23.63999938964844,185441264.62688443,True
GATX,GATX,Industrials,Construction Machinery & Heavy Transportation Equipment,S&P 400,5620,195.13999938964844,30606562.725830078,True
GBCI,Glacier Bancorp,Financials,Regional Banks,S&P 400,5620,48.66999816894531,39627300.925445564,True
GD,General Dynamics,Industrials,Aerospace & Defense,S&P 500,5620,349.1600036621094,431339679.07714844,True
GDDY,GoDaddy,Information Technology,Internet Services & Infrastructure,S&P 500,2791,87.48999786376953,170717638.29040527,True
GE,GE Aerospace,Industrials,Aerospace & Defense,S&P 500,5620,286.67999267578125,1493126147.6348877,True
GEHC,GE HealthCare,Health Care,Health Care Equipment,S&P 500,848,61.040000915527344,259019619.41757202,True
GEN,Gen Digital,Information Technology,Systems Software,S&P 500,5620,19.709999084472656,124963258.56704712,True
GEO,"GEO Group, Inc.",Industrials,Environmental & Facilities Services,S&P 600,5620,18.36000061035156,29558132.62104988,True
GEV,GE Vernova,Industrials,Heavy Electrical Equipment,S&P 500,528,1095.2099609375,2018108218.057251,True
GFF,Griffon Corporation,Industrials,Building Products,S&P 600,5620,91.0500030517578,24609115.284729004,True
GGG,Graco Inc.,Industrials,Industrial Machinery & Supplies & Components,S&P 400,5620,78.68000030517578,79885620.41473389,True
GILD,Gilead Sciences,Health Care,Biotechnology,S&P 500,5620,133.47999572753906,846879303.9485931,True
GIS,General Mills,Consumer Staples,Packaged Foods & Meats,S&P 500,5620,34.54999923706055,308232280.59272766,True
GKOS,Glaukos Corp.,Health Care,Health Care Equipment,S&P 600,2731,133.4199981689453,81015912.69836426,True
GL,Globe Life,Financials,Life & Health Insurance,S&P 500,5620,154.13999938964844,69578313.53378296,True
GLPI,Gaming and Leisure Properties,Real Estate,Other Specialized REITs,S&P 400,3158,47.75,104095914.09988403,True
GLW,Corning Inc.,Information Technology,Electronic Components,S&P 500,5620,162.10000610351562,1152924227.5505066,True
GM,General Motors,Consumer Discretionary,Automobile Manufacturers,S&P 500,3887,76.1500015258789,605629323.759079,True
GME,GameStop,Consumer Discretionary,Computer & Electronics Retail,S&P 400,5620,24.229999542236328,129510099.69911575,True
GMED,Globus Medical,Health Care,Health Care Equipment,S&P 400,3457,90.02999877929688,109289695.88546753,True
GNRC,Generac,Industrials,Electrical Components & Equipment,S&P 500,4082,263.67999267578125,174412792.38052368,True
GNTX,Gentex,Consumer Discretionary,Automotive Parts & Equipment,S&P 400,5620,22.93000030517578,47203006.50100708,True
GNW,"Genworth Financial, Inc.",Financials,Multi-line Insurance,S&P 600,5521,8.869999885559082,30176713.44165802,True
GO,Grocery Outlet,Consumer Staples,Food Retail,S&P 600,1728,7.840000152587891,23523072.835731506,True
GOLF,Acushnet Company,Consumer Discretionary,Leisure Products,S&P 600,2391,93.79000091552734,27681304.9118042,True
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,S&P 500,5462,384.2699890136719,6354076882.707214,True
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,S&P 500,5462,388.4299926757813,9606010556.878662,True
